Dataset,Domain URI,Domain,Predicate URI,Predicate,Range URI,Range,Property kind,Predicate namespace
YAGO,http://schema.org/Country,Country,http://yago-knowledge.org/resource/officialLanguage,officialLanguage,http://schema.org/Language,Language,object,http://yago-knowledge.org/resource/
YAGO,http://schema.org/Country,Country,http://yago-knowledge.org/resource/humanDevelopmentIndex,humanDevelopmentIndex,http://www.w3.org/2001/XMLSchema#decimal,decimal,datatype,http://yago-knowledge.org/resource/
YAGO,http://schema.org/Country,Country,http://yago-knowledge.org/resource/unemploymentRate,unemploymentRate,http://www.w3.org/2001/XMLSchema#decimal,decimal,datatype,http://yago-knowledge.org/resource/
YAGO,http://www.w3.org/2000/01/rdf-schema#Class,Class,http://www.w3.org/2000/01/rdf-schema#comment,comment,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,langString,datatype,http://www.w3.org/2000/01/rdf-schema#
YAGO,http://www.w3.org/2000/01/rdf-schema#Class,Class,http://schema.org/mainEntityOfPage,mainEntityOfPage,http://www.w3.org/2001/XMLSchema#anyURI,anyURI,datatype,http://schema.org/
YAGO,http://www.w3.org/2000/01/rdf-schema#Class,Class,http://schema.org/sameAs,sameAs,http://www.w3.org/2001/XMLSchema#string,string,datatype,http://schema.org/
YAGO,http://www.w3.org/2000/01/rdf-schema#Class,Class,http://schema.org/alternateName,alternateName,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,langString,datatype,http://schema.org/
YAGO,http://www.w3.org/2000/01/rdf-schema#Class,Class,http://www.w3.org/2000/01/rdf-schema#label,label,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,langString,datatype,http://www.w3.org/2000/01/rdf-schema#
YAGO,http://schema.org/Movie,Movie,http://schema.org/director,director,http://schema.org/Person,Person,object,http://schema.org/
YAGO,http://schema.org/Movie,Movie,http://schema.org/actor,actor,http://schema.org/Person,Person,object,http://schema.org/
YAGO,http://schema.org/Movie,Movie,http://schema.org/musicBy,musicBy,http://schema.org/MusicGroup,MusicGroup,object,http://schema.org/
YAGO,http://schema.org/Movie,Movie,http://schema.org/musicBy,musicBy,http://schema.org/Person,Person,object,http://schema.org/
YAGO,http://schema.org/Movie,Movie,http://schema.org/duration,duration,http://www.w3.org/2001/XMLSchema#decimal,decimal,datatype,http://schema.org/
YAGO,http://schema.org/Movie,Movie,http://schema.org/locationCreated,locationCreated,http://schema.org/Place,Place,object,http://schema.org/
YAGO,http://schema.org/Movie,Movie,http://schema.org/productionCompany,productionCompany,http://schema.org/Organization,Organization,object,http://schema.org/
YAGO,http://yago-knowledge.org/resource/Award,Award,http://yago-knowledge.org/resource/conferredBy,conferredBy,http://schema.org/Organization,Organization,object,http://yago-knowledge.org/resource/
YAGO,http://yago-knowledge.org/resource/Award,Award,http://yago-knowledge.org/resource/conferredBy,conferredBy,http://schema.org/Person,Person,object,http://yago-knowledge.org/resource/
YAGO,http://schema.org/MusicComposition,MusicComposition,http://schema.org/lyricist,lyricist,http://schema.org/Person,Person,object,http://schema.org/
YAGO,http://schema.org/MusicComposition,MusicComposition,http://schema.org/lyricist,lyricist,http://schema.org/MusicGroup,MusicGroup,object,http://schema.org/
YAGO,http://schema.org/MusicComposition,MusicComposition,http://schema.org/musicBy,musicBy,http://schema.org/Person,Person,object,http://schema.org/
YAGO,http://schema.org/MusicComposition,MusicComposition,http://schema.org/musicBy,musicBy,http://schema.org/MusicGroup,MusicGroup,object,http://schema.org/
YAGO,http://schema.org/MusicComposition,MusicComposition,http://yago-knowledge.org/resource/iswcCode,iswcCode,http://www.w3.org/2001/XMLSchema#string,string,datatype,http://yago-knowledge.org/resource/
YAGO,http://yago-knowledge.org/resource/AstronomicalObject,AstronomicalObject,http://yago-knowledge.org/resource/mass,mass,http://www.w3.org/2001/XMLSchema#decimal,decimal,datatype,http://yago-knowledge.org/resource/
YAGO,http://yago-knowledge.org/resource/AstronomicalObject,AstronomicalObject,http://yago-knowledge.org/resource/radialVelocity,radialVelocity,http://www.w3.org/2001/XMLSchema#decimal,decimal,datatype,http://yago-knowledge.org/resource/
YAGO,http://yago-knowledge.org/resource/AstronomicalObject,AstronomicalObject,http://yago-knowledge.org/resource/parallax,parallax,http://www.w3.org/2001/XMLSchema#decimal,decimal,datatype,http://yago-knowledge.org/resource/
YAGO,http://yago-knowledge.org/resource/AstronomicalObject,AstronomicalObject,http://yago-knowledge.org/resource/luminosity,luminosity,http://www.w3.org/2001/XMLSchema#decimal,decimal,datatype,http://yago-knowledge.org/resource/
YAGO,http://yago-knowledge.org/resource/AstronomicalObject,AstronomicalObject,http://yago-knowledge.org/resource/parentBody,parentBody,http://yago-knowledge.org/resource/AstronomicalObject,AstronomicalObject,object,http://yago-knowledge.org/resource/
